,entrezgene,symbol
524,8038,ADAM12
525,10939,AFG3L2
526,80332,ADAM33
527,155185,AMZ1
528,51056,LAP3
529,206338,LVRN
530,79868,ALG13
531,8747,ADAM21
532,11085,ADAM30
533,59272,ACE2
534,23192,ATG4B
535,84938,ATG4C
536,431705,ASTL
537,115201,ATG4A
538,84971,ATG4D
539,10213,PSMD14
540,5126,PCSK2
541,8492,PRSS12
542,5664,PSEN2
